months_driven,total_kms_driven,make,vehicle_model,year,fuel_type,last_service_type,days_until_service,kms_until_service,driver_profile,trigger,elapsed_fraction
2.68,6287.7,Hyundai,Tucson,2011,petrol,oil_change,22,1712.3,heavy,km,0.7861
1.29,2518.1,BMW,3 Series,2023,petrol,full_service,134,8481.9,average,km,0.2272
4.6,4504.1,Honda,Accord,2012,hybrid,oil_change,40,1287.4,light,time,0.7784
1.16,2565.9,Volkswagen,Golf,2012,petrol,full_service,73,5434.1,average,km,0.3258
4.64,8268.2,Hyundai,i20,2020,petrol,oil_change,28,1731.8,average,km,0.8327
0.91,1552.3,Hyundai,Creta,2022,hybrid,oil_change,171,9346.2,average,time,0.1398
0.79,647.5,Volkswagen,Golf,2017,hybrid,inspection,147,3524.3,light,time,0.1398
3.39,5631.7,BMW,X3,2018,petrol,inspection,81,4368.3,average,km,0.5592
1.53,973.0,Maruti,Swift,2014,petrol,inspection,119,2466.6,light,time,0.2814
1.05,1560.8,Ford,Fiesta,2021,diesel,full_service,159,7877.3,average,time,0.167
2.8,2433.9,BMW,5 Series,2020,diesel,full_service,106,3027.5,light,time,0.4462
4.91,5859.8,Honda,Accord,2015,diesel,oil_change,15,594.2,average,time,0.9086
9.8,15121.5,Honda,CR-V,2013,electric,oil_change,32,1627.2,average,time,0.9026
4.35,2546.9,Volkswagen,Tiguan,2018,petrol,oil_change,52,988.6,light,time,0.7195
2.25,3763.3,Toyota,Camry,2019,diesel,oil_change,139,7609.2,average,time,0.3299
3.06,2256.0,Toyota,RAV4,2012,diesel,brake_service,64,1569.5,light,time,0.5909
1.03,4467.2,Hyundai,Tucson,2010,petrol,full_service,23,3532.8,heavy,km,0.5717
5.75,8953.7,Toyota,Camry,2017,petrol,oil_change,20,1046.3,average,km,0.8962
0.4,837.0,BMW,X3,2011,petrol,full_service,102,7163.0,average,km,0.1077
2.06,1442.4,Honda,Civic,2018,petrol,oil_change,135,3005.4,light,time,0.3171
5.22,7654.7,Maruti,Swift,2024,diesel,oil_change,1,58.7,average,time,0.9924
4.06,8136.2,Maruti,Swift,2023,hybrid,full_service,63,4132.1,average,time,0.6617
1.08,1110.4,Ford,Focus,2010,diesel,oil_change,181,6239.7,light,time,0.1533
2.68,4798.9,Maruti,Swift,2012,hybrid,oil_change,81,4801.1,average,km,0.5007
3.19,2486.9,Honda,Civic,2010,petrol,oil_change,70,1824.3,light,time,0.5811
2.84,7846.8,BMW,3 Series,2021,diesel,oil_change,90,8185.4,heavy,time,0.4886
0.45,1414.8,Maruti,Vitara,2017,petrol,full_service,85,8585.2,heavy,km,0.1403
0.1,288.7,Toyota,Corolla,2023,diesel,inspection,169,12577.3,heavy,time,0.0178
2.29,6170.7,Hyundai,i20,2015,hybrid,full_service,37,3429.3,heavy,km,0.6519
0.25,514.1,Hyundai,i20,2013,petrol,full_service,106,7485.9,average,km,0.0666
0.89,698.7,Ford,Focus,2023,hybrid,brake_service,149,4228.6,light,time,0.1536
2.6,2282.3,Honda,Civic,2012,petrol,oil_change,122,3488.7,light,time,0.3936
2.8,6874.1,Volkswagen,Tiguan,2018,hybrid,oil_change,64,5125.9,average,km,0.5712
5.69,5486.2,Toyota,RAV4,2017,petrol,oil_change,14,452.9,light,time,0.9248
1.57,4730.9,Honda,CR-V,2014,electric,inspection,307,30510.3,heavy,time,0.1346
0.86,1339.4,Volkswagen,Tiguan,2016,hybrid,oil_change,162,8784.1,average,time,0.1398
1.59,2585.6,Ford,Fiesta,2017,petrol,oil_change,115,5969.8,average,time,0.2969
